MEX;25;FW;Roberto Alvarado;07/09/1998
MEX;26;DF;Kevin Álvarez;15/01/1999
POL;1;GK;Wojciech Szczęsny;18/04/1990
POL;2;DF;Matty Cash;07/08/1997
POL;3;DF;Artur Jędrzejczyk;04/11/1987
POL;4;DF;Mateusz Wieteska;11/02/1997
POL;5;DF;Jan Bednarek;12/04/1996
POL;6;MF;Krystian Bielik;04/01/1998
POL;7;FW;Arkadiusz Milik;28/02/1994
POL;8;MF;Damian Szymański;16/06/1995
POL;9;FW;Robert Lewandowski;21/08/1988
POL;10;MF;Grzegorz Krychowiak;29/01/1990
POL;11;MF;Kamil Grosicki;08/06/1988
POL;12;GK;Łukasz Skorupski;05/05/1991
POL;13;MF;Jakub Kamiński;05/06/2002
POL;14;DF;Jakub Kiwior;15/02/2000
POL;15;DF;Kamil Glik;03/02/1988
POL;16;FW;Karol Świderski;23/01/1997
POL;17;MF;Szymon Żurkowski;25/09/1997
POL;18;DF;Bartosz Bereszyński;12/07/1992
POL;19;MF;Sebastian Szymański;10/05/1999
POL;20;MF;Piotr Zieliński;20/05/1994
POL;21;MF;Nicola Zalewski;23/01/2002
POL;22;GK;Kamil Grabara;08/01/1999
POL;23;FW;Krzysztof Piątek;01/07/1995
POL;24;MF;Przemysław Frankowski;12/04/1995
POL;25;DF;Robert Gumny;04/06/1998
POL;26;MF;Michał Skóraś;15/02/2000
KSA;1;GK;Mohammed Al-Rubaie;14/08/1997
KSA;2;DF;Sultan Al-Ghannam;06/05/1994
KSA;3;DF;Abdullah Madu;15/07/1993
KSA;4;DF;Abdulelah Al-Amri;15/01/1997
KSA;5;DF;Ali Al-Bulaihi;21/11/1989
KSA;6;DF;Mohammed Al-Breik;15/09/1992
KSA;7;MF;Salman Al-Faraj;01/08/1989
KSA;8;MF;Abdulellah Al-Malki;11/12/1994
KSA;9;FW;Firas Al-Buraikan;14/05/2000
KSA;10;FW;Salem Al-Dawsari;19/08/1991
KSA;11;FW;Saleh Al-Shehri;01/11/1993
KSA;12;DF;Saud Abdulhamid;18/07/1999
KSA;13;DF;Yasser Al-Shahrani;25/05/1992
KSA;14;MF;Abdullah Otayf;03/08/1992
KSA;15;MF;Ali Al-Hassan;04/03/1997
KSA;16;MF;Sami Al-Najei;07/02/1997
KSA;17;DF;Hassan Al-Tambakti;09/02/1999
KSA;18;MF;Nawaf Al-Abed;26/01/1990
KSA;19;FW;Hattan Bahebri;16/07/1992
KSA;20;FW;Abdulrahman Al-Aboud;01/06/1995
KSA;21;GK;Mohammed Al-Owais;10/12/1991
KSA;22;GK;Nawaf Al-Aqidi;10/05/2000
KSA;23;MF;Mohamed Kanno;22/09/1994
KSA;24;MF;Nasser Al-Dawsari;19/12/1998
KSA;25;FW;Haitham Asiri;25/03/2001
KSA;26;MF;Riyadh Sharahili;28/04/1993
AUS;1;GK;Mathew Ryan;08/04/1992
AUS;2;DF;Miloš Degenek;28/04/1994
AUS;3;DF;Nathaniel Atkinson;13/06/1999
AUS;4;DF;Kye Rowles;24/06/1998
AUS;5;DF;Fran Karačić;12/05/1996
AUS;6;FW;Marco Tilio;23/08/2001
AUS;7;FW;Mathew Leckie;04/02/1991
AUS;8;DF;Bailey Wright;28/07/1992
AUS;9;FW;Jamie Maclaren;29/07/1993
AUS;10;MF;Ajdin Hrustic;05/07/1996
AUS;11;FW;Awer Mabil;15/09/1995
AUS;12;GK;Andrew Redmayne;13/01/1989
AUS;13;MF;Aaron Mooy;15/09/1990
AUS;14;MF;Riley McGree;02/11/1998
AUS;15;FW;Mitchell Duke;18/01/1991
AUS;16;DF;Aziz Behich;16/12/1990
AUS;17;MF;Cameron Devlin;07/06/1998
AUS;18;GK;Danny Vukovic;27/03/1985
AUS;19;DF;Harry Souttar;22/12/1998
AUS;20;DF;Thomas Deng;20/03/1997
AUS;21;FW;Garang Kuol;15/09/2004
AUS;22;MF;Jackson Irvine;07/03/1993
AUS;23;FW;Craig Goodwin;16/12/1991
AUS;24;DF;Joel King;30/12/2000
AUS;25;FW;Jason Cummings;01/08/1995
AUS;26;MF;Keanu Baccus;07/06/1998
DEN;1;GK;Kasper Schmeichel;05/11/1986
DEN;2;DF;Joachim Andersen;31/05/1996
DEN;3;DF;Victor Nelsson;14/12/1998
DEN;4;DF;Simon Kjær;26/03/1989
DEN;5;DF;Joakim Mæhle;20/05/1997
DEN;6;DF;Andreas Christensen;10/04/1996
DEN;7;MF;Mathias Jensen;01/01/1996
DEN;8;MF;Thomas Delaney;03/09/1991
DEN;9;FW;Martin Braithwaite;05/06/1991
DEN;10;MF;Christian Eriksen;14/02/1992
DEN;11;MF;Andreas Skov Olsen;29/12/1999
DEN;12;FW;Kasper Dolberg;06/12/1997
DEN;13;DF;Rasmus Kristensen;11/07/1997
DEN;14;MF;Mikkel Damsgaard;03/07/2000
DEN;15;MF;Christian Nørgaard;10/03/1994
DEN;16;GK;Oliver Christensen;22/03/1999
DEN;17;DF;Jens Stryger Larsen;21/02/1991
DEN;18;DF;Daniel Wass;31/05/1989
DEN;19;FW;Jonas Wind;07/02/1999
DEN;20;FW;Yussuf Poulsen;15/06/1994
DEN;21;FW;Andreas Cornelius;16/03/1993
DEN;22;GK;Frederik Rønnow;04/08/1992
DEN;23;MF;Pierre-Emile Højbjerg;05/08/1995
DEN;24;MF;Robert Skov;20/05/1996
